make,model,price,fuel,year,kms,power,doors,shift,is_professional,province
PEUGEOT,508,36750,Híbrido enchufable,2020.0,50,225.0,5,Automático,True,Alicante
FORD,Mondeo,2500,Diésel,2004.0,227000,130.0,5,Manual,False,Sevilla
HONDA,CRV,21990,Diésel,2016.0,101900,160.0,5,Automático,True,Madrid
MERCEDES-BENZ,Clase C,14500,Diésel,2014.0,190000,170.0,5,Automático,False,Murcia
MERCEDES-BENZ,Clase C,22599,Diésel,2015.0,111264,170.0,5,Automático,True,Madrid
NISSAN,LEAF,29800,Eléctrico,2020.0,0,150.0,5,Automático,True,Murcia
VOLKSWAGEN,Golf,2700,Gasolina,1996.0,280,,3,Manual,False,Palencia
CITROEN,Grand C4 Spacetourer,17900,Diésel,2018.0,46579,120.0,5,Manual,True,Guipúzcoa
PEUGEOT,308,17950,Diésel,2018.0,52538,130.0,5,Manual,True,Toledo
AUDI,A4,26800,Diésel,2018.0,22417,150.0,5,Manual,True,Madrid
PEUGEOT,208,21500,Gasolina,2020.0,2,100.0,5,Automático,True,Barcelona
VOLKSWAGEN,CC,17500,Diésel,2013.0,137000,170.0,4,Automático,True,Vizcaya
BMW,Serie 3,9800,Gasolina,1987.0,145000,,2,Manual,False,Lugo
NISSAN,Almera,1500,Gasolina,2005.0,88000,98.0,5,Manual,False,Baleares
MERCEDES-BENZ,Clase C,6850,Gasolina,2007.0,179999,143.0,3,Automático,True,Barcelona
BMW,Serie 2 Active Tourer,12900,Diésel,2015.0,120000,116.0,5,Manual,True,Álava
LEXUS,ES,41900,Híbrido,2019.0,24000,218.0,4,Automático,True,Barcelona
MERCEDES-BENZ,Clase A,27850,Diésel,2019.0,9058,116.0,5,Automático,True,Barcelona
HYUNDAI,i20,4999,Gasolina,2011.0,78000,78.0,5,Manual,True,Madrid
NISSAN,PULSAR,10500,Gasolina,2017.0,30654,115.0,5,Manual,True,Baleares
AUDI,A3,21900,Diésel,2018.0,47000,116.0,5,Automático,True,Toledo
OPEL,Zafira,2600,Diésel,2005.0,248000,150.0,5,Manual,False,Alicante
PEUGEOT,308,18450,Diésel,2017.0,51299,150.0,5,Manual,True,Málaga
MERCEDES-BENZ,GLB,47600,Gasolina,2020.0,0,163.0,5,Automático,True,Sevilla
PEUGEOT,508,5000,Diésel,2012.0,198000,,5,Manual,False,Sevilla
FORD,Galaxy,9800,Diésel,2012.0,165224,115.0,5,Manual,True,Málaga
ABARTH,500C,15500,Gasolina,2012.0,76900,140.0,2,Automático,True,Barcelona
FORD,Fiesta,5900,Gasolina,2016.0,64200,82.0,5,Manual,True,Málaga
PEUGEOT,207,2400,Gasolina,2007.0,195000,95.0,5,Manual,False,Madrid
FIAT,Tipo,12600,Diésel,2018.0,16175,95.0,5,Manual,True,Vizcaya
SSANGYONG,Rodius,9700,Diésel,2013.0,177000,165.0,5,Manual,True,Madrid
MERCEDES-BENZ,Clase E,2850,Diésel,2002.0,318000,,4,Automático,False,Ciudad Real
HONDA,Civic,23400,Gasolina,2020.0,1,129.0,5,Manual,True,Castellón
SEAT,León,10900,Diésel,2016.0,68000,110.0,5,Manual,True,Cádiz
KIA,Venga,9250,Diésel,2012.0,59999,128.0,5,Manual,False,Baleares
TOYOTA,CHR,26500,Híbrido,2019.0,9000,122.0,5,Automático,True,Barcelona
PEUGEOT,407 SW,2500,Diésel,2007.0,358000,,5,Manual,False,Asturias
PEUGEOT,2008,13850,Gasolina,2017.0,34000,110.0,5,Automático,True,Sevilla
NISSAN,QASHQAI,10900,Diésel,2015.0,144000,110.0,5,Manual,True,Zaragoza
RENAULT,Captur,15400,Gasolina,2019.0,11900,90.0,5,Manual,True,Granada
CITROEN,C1,12900,Gasolina,2019.0,1887,72.0,5,Automático,True,Barcelona
PEUGEOT,208,10299,Gasolina,2018.0,35581,82.0,5,Manual,True,Madrid
KIA,Sportage,18500,Diésel,2017.0,49000,115.0,5,Manual,False,Pontevedra
CITROEN,Grand C4 Picasso,4400,Diésel,2007.0,204540,110.0,5,Automático,False,Córdoba
CITROEN,C1,9900,Gasolina,2018.0,27000,82.0,5,Manual,True,Pontevedra
VOLKSWAGEN,Golf,1600,Gasolina,2002.0,221000,,3,Manual,False,Ciudad Real
SUZUKI,Jimny,6900,Diésel,2007.0,165000,,3,Manual,False,Valencia
RENAULT,Grand Scénic,28300,Diésel,2020.0,6000,150.0,5,Automático,True,Madrid
FORD,Ka+,8490,Gasolina,2019.0,18000,85.0,5,Manual,True,Tenerife
PEUGEOT,5008,11450,Diésel,2016.0,88000,120.0,5,Manual,True,Valencia
BMW,Serie 1,25950,Diésel,2020.0,10000,116.0,5,Manual,True,Las Palmas
OPEL,Corsa,8000,Gasolina,2015.0,62534,90.0,5,Manual,True,Madrid
MERCEDES-BENZ,GLC Coupé,103900,Gasolina,2020.0,14900,476.0,5,Automático,True,Barcelona
MERCEDES-BENZ,Clase E,55000,Diésel,2018.0,46190,258.0,4,Automático,True,Tenerife
BMW,Serie 1,13200,Diésel,2012.0,160000,184.0,5,Automático,False,Baleares
VOLKSWAGEN,Passat,1500,Gasolina,1983.0,227000,90.0,5,Manual,False,Orense
CITROEN,C3,14795,Gasolina,2020.0,5,83.0,5,Manual,True,Sevilla
VOLVO,S40,1250,Gasolina,1999.0,124000,125.0,4,Manual,False,Barcelona
VOLKSWAGEN,Scirocco,16990,Diésel,2016.0,64700,150.0,3,Manual,True,Sevilla
RENAULT,Clio,1990,Gasolina,2002.0,128000,75.0,3,Manual,True,Vizcaya
AUDI,A4,3500,Diésel,2002.0,261000,130.0,4,Manual,False,Badajoz
AUDI,Q5,23900,Diésel,2013.0,99000,177.0,5,Automático,True,Burgos
SSANGYONG,Rexton,3895,Diésel,2006.0,248572,186.0,5,Manual,False,Málaga
VOLKSWAGEN,Golf Sportsvan,10900,Diésel,2016.0,150000,110.0,5,Manual,False,Sevilla
VOLKSWAGEN,Golf,20600,Gasolina,2019.0,1800,150.0,5,Manual,False,Tarragona
MERCEDES-BENZ,Clase GLA,23500,Diésel,2017.0,120000,136.0,5,Automático,True,Pontevedra
VOLKSWAGEN,Golf,10000,Diésel,2013.0,162000,150.0,5,Manual,False,Madrid
FORD,Focus,1200,Diésel,2002.0,166500,115.0,3,Manual,False,Barcelona
FORD,Focus,9900,Diésel,2015.0,105000,95.0,5,Manual,True,Alicante
RENAULT,Scénic,7490,Diésel,2012.0,175000,110.0,5,Manual,True,Cantabria
BMW,i3,23900,Híbrido enchufable,2017.0,24000,170.0,5,Automático,True,Madrid
TOYOTA,Auris,12490,Híbrido,2016.0,113840,136.0,5,Automático,True,Madrid
FIAT,500,8900,Gasolina,2018.0,28000,69.0,3,Manual,False,Barcelona
SEAT,Ibiza,6700,Gasolina,2014.0,45000,70.0,5,Manual,True,Granada
CITROEN,C3,11999,Diésel,2018.0,28000,75.0,5,Manual,True,Barcelona
AUDI,A6,27000,Diésel,2016.0,125000,272.0,5,Automático,True,Sevilla
MERCEDES-BENZ,Clase CLK,4100,Diésel,2005.0,316000,,3,Automático,False,A Coruña
HYUNDAI,ix35,11500,Diésel,2012.0,119997,136.0,5,Automático,True,Tarragona
FORD,SMAX,19400,Diésel,2017.0,76946,150.0,5,Automático,True,Madrid
ROVER,200,5900,Diésel,1986.0,100000,,5,Manual,False,Baleares
VOLKSWAGEN,Golf,19500,Gasolina,2016.0,67000,150.0,5,Automático,True,Murcia
TOYOTA,Yaris,7800,Gasolina,2014.0,18180,69.0,5,Manual,True,Barcelona
PEUGEOT,Partner,11485,Diésel,2017.0,41000,100.0,5,Manual,True,Las Palmas
CITROEN,C3,12500,Gasolina,2018.0,27500,110.0,5,Manual,False,Barcelona
FORD,Kuga,9500,Diésel,2011.0,130000,140.0,5,Manual,False,Alicante
FORD,CMax,6999,Diésel,2014.0,153000,115.0,5,Manual,True,Murcia
BMW,Serie 1,4900,Gasolina,2006.0,188000,115.0,5,Manual,False,Huelva
RENAULT,Mégane,600,Gasolina,1999.0,245000,95.0,2,Manual,False,Asturias
NISSAN,JUKE,10990,Diésel,2014.0,95000,110.0,5,Manual,False,Barcelona
SKODA,Karoq,29900,Diésel,2019.0,21505,150.0,5,Automático,True,A Coruña
HYUNDAI,i30,4490,Diésel,2008.0,208500,115.0,5,Manual,True,Valencia
AUDI,A5,22490,Diésel,2016.0,108802,150.0,5,Automático,True,Sevilla
VOLVO,S60,15950,Diésel,2015.0,69000,190.0,4,Automático,True,Madrid
VOLKSWAGEN,Touareg,15600,Diésel,2008.0,139000,240.0,5,Automático,False,Almería
ROVER,45,400,Diésel,2003.0,216000,,5,Manual,False,Granada
BMW,X3,24900,Diésel,2016.0,73158,190.0,5,Automático,True,Granada
AUDI,A4,11500,Diésel,2010.0,143000,143.0,4,Automático,False,Asturias
HYUNDAI,i30,29900,Gasolina,2020.0,7600,275.0,5,Manual,True,Asturias
TOYOTA,Celica,4990,Gasolina,2000.0,108000,143.0,3,Manual,True,Las Palmas
LAND-ROVER,Range Rover Velar,103990,Gasolina,2020.0,3500,550.0,5,Automático,True,Asturias
MERCEDES-BENZ,Clase E,9800,Diésel,2006.0,188000,224.0,4,Automático,True,Valencia
SEAT,Arona,20990,Gasolina,2019.0,10,115.0,5,Manual,True,Sevilla
CITROEN,C5 Aircross,23990,Diésel,2020.0,10,131.0,5,Manual,True,Vizcaya
MERCEDES-BENZ,Vito,38400,Diésel,2020.0,5,136.0,4,Automático,True,Madrid
DACIA,Duster,12900,Gasolina,2019.0,5440,115.0,5,Manual,True,Granada
JEEP,Compass,28500,Diésel,2019.0,20000,140.0,5,Automático,True,Huesca
BMW,Serie 5,23999,Gasolina,1993.0,229500,340.0,4,Manual,True,Alicante
MERCEDES-BENZ,Clase C,1800,Diésel,2002.0,295000,,5,Manual,False,Almería
SEAT,Ibiza,6800,Diésel,2012.0,134000,90.0,5,Manual,True,Asturias
AUDI,A6,7500,Gasolina,2007.0,225000,,5,Manual,False,Salamanca
PEUGEOT,Expert,19700,Diésel,2019.0,20000,120.0,4,,True,A Coruña
OPEL,Astra,10250,Diésel,2016.0,86000,136.0,5,Manual,True,Barcelona
FIAT,Stilo,1450,Diésel,2004.0,306000,115.0,3,Manual,True,Valladolid
FIAT,Ulysse,1300,Diésel,2001.0,190000,,5,Manual,False,Córdoba
MERCEDES-BENZ,Clase A,19490,Diésel,2016.0,125000,136.0,5,Automático,True,Granada
CITROEN,DS5,13500,Diésel,2014.0,166235,120.0,5,Automático,True,Valencia
AUDI,A3,31990,Diésel,2020.0,9,150.0,5,Automático,True,Zaragoza
PORSCHE,911,38500,Gasolina,2006.0,103000,325.0,2,Manual,False,Baleares
HYUNDAI,TUCSON,16750,Diésel,2017.0,76500,115.0,5,Manual,True,A Coruña
MERCEDES-BENZ,Clase A,22400,Diésel,2017.0,38000,136.0,5,Manual,False,Lleida
FORD,Fiesta,11990,Diésel,2018.0,32000,85.0,5,Manual,True,Madrid
FIAT,Doblò,14900,Diésel,2018.0,2000,,5,Manual,True,Madrid
OPEL,Corsa,17900,Diésel,2020.0,10262,102.0,5,Manual,True,A Coruña
PEUGEOT,Partner,9900,Diésel,2017.0,51078,75.0,4,Manual,True,Madrid
FORD,Focus,19700,Diésel,2020.0,0,120.0,5,Manual,True,Alicante
AUDI,A3,600,Gasolina,1999.0,300000,,5,Manual,False,Valencia
AUDI,A6,44500,Diésel,2019.0,20084,204.0,5,Automático,True,Madrid
SEAT,Córdoba,1300,Diésel,2003.0,225000,,5,Manual,False,Almería
RENAULT,Mégane,4000,Diésel,2010.0,259358,105.0,5,Manual,False,Vizcaya
MITSUBISHI,Eclipse Cross,21500,Gasolina,2020.0,18103,163.0,5,Manual,True,Málaga
FIAT,Tipo,12500,Diésel,2018.0,19868,95.0,5,Manual,True,Valencia
LAND-ROVER,Range Rover Sport,76000,Diésel,2020.0,7829,249.0,5,Automático,True,Murcia
BMW,X3,11500,Diésel,2008.0,178000,177.0,5,Manual,False,A Coruña
PEUGEOT,Bipper,5990,Diésel,2017.0,179000,80.0,4,Manual,True,Sevilla
OPEL,Corsa,5000,Diésel,2014.0,125000,75.0,5,Manual,False,Cáceres
KIA,Optima,13900,Diésel,2016.0,80000,141.0,4,Manual,True,Valencia
OPEL,Astra,17900,Gasolina,2019.0,1464,110.0,5,Manual,True,Jaén
HYUNDAI,i20,13500,Gasolina,2020.0,4019,100.0,5,Manual,True,Zaragoza
MERCEDES-BENZ,Vito,28900,Diésel,2018.0,32600,136.0,4,Automático,True,Madrid
VOLVO,XC40,33990,Gasolina,2020.0,6522,163.0,5,Automático,True,Madrid
CHEVROLET,Kalos,1800,Gasolina,2007.0,112000,94.0,3,Manual,False,Sevilla
MERCEDES-BENZ,Clase A,28995,Gasolina,2019.0,43167,136.0,5,Manual,True,Madrid
SSANGYONG,XLV,16700,Gasolina,2019.0,4150,128.0,5,Manual,True,Cádiz
OPEL,Astra,12200,Diésel,2015.0,63227,165.0,5,Manual,True,Barcelona
TOYOTA,Yaris,9590,Gasolina,2016.0,47154,69.0,5,Manual,True,Madrid
TATA,INDICA,1500,Gasolina,2008.0,107000,85.0,5,Manual,False,Valladolid
RENAULT,Clio III,3300,Diésel,2009.0,115000,,5,Manual,False,Murcia
JAGUAR,XF,22500,Diésel,2011.0,145000,190.0,4,Automático,False,Madrid
SEAT,León,6500,Diésel,2007.0,125500,105.0,5,Manual,True,Vizcaya
LANCIA,Ypsilon,6500,Gasolina,2013.0,89000,69.0,5,Manual,False,Barcelona
LAND-ROVER,Range Rover Sport,58900,Diésel,2019.0,101143,249.0,5,Automático,True,Toledo
NISSAN,Pathfinder,6500,Diésel,2007.0,394000,,5,Manual,False,Cádiz
VOLKSWAGEN,Passat,11400,Diésel,2016.0,78000,120.0,5,Manual,True,Barcelona
AUDI,A4,4900,Diésel,2003.0,117839,130.0,4,Manual,True,Castellón
JEEP,Renegade,18900,Gasolina,2019.0,24000,120.0,5,Manual,True,Zaragoza
RENAULT,Scénic,3990,Diésel,2005.0,176000,,5,Manual,False,Asturias
PEUGEOT,Partner,10990,Diésel,2017.0,83000,75.0,4,Manual,True,Barcelona
FORD,Focus,2000,Gasolina,2001.0,121000,100.0,5,Manual,False,Alicante
SUZUKI,Grand Vitara,7900,Diésel,2004.0,201000,110.0,3,Manual,False,Palencia
VOLKSWAGEN,Passat,2600,Diésel,2005.0,250000,,5,Manual,False,Madrid
PEUGEOT,Expert,19900,Diésel,2018.0,70000,115.0,4,Manual,False,Pontevedra
AUDI,A7,46500,Diésel,2015.0,58250,326.0,5,Automático,True,Vizcaya
KIA,ceed,14500,Diésel,2016.0,53515,136.0,5,Automático,True,Madrid
VOLKSWAGEN,Tiguan,22400,Diésel,2015.0,55468,150.0,5,Automático,True,Alicante
RENAULT,Kangoo Furgón,8995,Diésel,2017.0,55950,75.0,3,Manual,True,Valencia
MERCEDES-BENZ,Vito,30790,Diésel,2019.0,27194,136.0,4,Automático,True,Sevilla
AUDI,Q5,22500,Diésel,2012.0,165000,245.0,5,Automático,False,Almería
AUDI,A3,21990,Diésel,2016.0,111942,150.0,5,Automático,True,Pontevedra
CITROEN,Berlingo,22900,Diésel,2021.0,0,102.0,5,Manual,True,Granada
VOLKSWAGEN,Golf,3900,Diésel,2001.0,180000,110.0,3,Manual,False,Barcelona
VOLKSWAGEN,Touran,13500,Diésel,2014.0,164000,105.0,5,Manual,False,Girona
CITROEN,C4 Picasso,18400,Diésel,2016.0,41715,150.0,5,Manual,True,Álava
VOLKSWAGEN,Passat,17900,Diésel,2017.0,77396,120.0,4,Automático,True,Salamanca
TOYOTA,Corolla,21990,Híbrido,2020.0,17073,122.0,5,Automático,True,Madrid
MINI,MINI,5000,Gasolina,2006.0,136000,,3,Automático,False,Ciudad Real
TOYOTA,CHR,19500,Híbrido,2017.0,52000,122.0,5,Automático,True,Huelva
SKODA,Octavia,32999,Gasolina,2020.0,150,245.0,5,Automático,True,Segovia
ALFA ROMEO,MiTo,7200,Gasolina,2011.0,105380,105.0,3,Manual,True,La Rioja
MERCEDES-BENZ,Clase GLE Coupé,49900,Diésel,2016.0,71856,258.0,5,Automático,True,Valencia
CHEVROLET,Captiva,5250,Diésel,2007.0,127400,,5,Manual,False,Toledo
CITROEN,Berlingo,1500,Diésel,1997.0,249144,,3,Manual,False,Pontevedra
AUDI,A8,9500,Diésel,2004.0,270000,275.0,4,Automático,False,Madrid
RENAULT,Captur,13299,Gasolina,2018.0,32799,90.0,5,Automático,True,Barcelona
MERCEDES-BENZ,Clase E,16500,Diésel,2010.0,190000,231.0,2,Automático,True,A Coruña
MERCEDES-BENZ,Clase GLC,32990,Diésel,2016.0,89000,170.0,5,Automático,True,Tenerife
KIA,Sportage,21900,Diésel,2017.0,79000,141.0,5,Automático,True,Madrid
BMW,Compact,1000,Diésel,2005.0,200000,,4,Automático,False,Granada
OPEL,Corsa,7200,Diésel,2016.0,110135,75.0,5,Manual,True,Madrid
BMW,X1,23999,Diésel,2017.0,57000,150.0,5,Automático,True,Murcia
OPEL,Astra,15600,Gasolina,2019.0,1,110.0,5,Manual,True,Barcelona
FIAT,Panda,9450,Gasolina,2019.0,9380,69.0,5,Manual,True,Valencia
RENAULT,Clio,2900,Diésel,2003.0,203000,65.0,5,Manual,True,Huesca
BMW,Serie 7,30000,Diésel,2012.0,160000,306.0,4,Automático,False,Barcelona
PEUGEOT,5008,28723,Gasolina,2021.0,1,130.0,5,Manual,True,Madrid
BMW,Serie 7,13990,Diésel,2010.0,195000,245.0,4,Automático,True,Jaén
BMW,Serie 2,20500,Diésel,2017.0,100281,150.0,2,Automático,True,Tenerife
LAND-ROVER,Range Rover Sport,18495,Diésel,2007.0,155000,272.0,5,Automático,True,Baleares
CITROEN,C3 Aircross,16900,Diésel,2018.0,22682,120.0,5,Manual,True,Baleares
CHRYSLER,Voyager,1900,Diésel,2005.0,175000,,5,Manual,False,Almería
BMW,X5,11700,Gasolina,2007.0,162000,272.0,5,Automático,True,Barcelona
MERCEDES-BENZ,Clase B,7990,Diésel,2012.0,123000,,5,Automático,False,Badajoz
SEAT,Ateca,31990,Diésel,2020.0,4872,150.0,5,Automático,True,Barcelona
AUDI,100,1000,Gasolina,1992.0,170000,,5,Manual,False,Navarra
BMW,X6,43990,Diésel,2015.0,69000,313.0,5,Automático,True,Tenerife
PEUGEOT,3008,20900,Diésel,2018.0,58609,120.0,5,Manual,True,Burgos
JAGUAR,XType,4500,Gasolina,2004.0,236048,,5,Manual,False,Pontevedra
CITROEN,Jumper,13800,Diésel,2015.0,221000,150.0,2,Manual,False,Granada
RENAULT,Master,13500,Diésel,2015.0,140790,125.0,4,Manual,True,Madrid
NISSAN,XTRAIL,3500,Diésel,2003.0,280000,136.0,5,Manual,False,Tenerife
VOLKSWAGEN,Caddy,14900,Diésel,2018.0,40096,102.0,4,Manual,True,Sevilla
NISSAN,JUKE,10500,Gasolina,2013.0,40127,117.0,5,Manual,True,Barcelona
MERCEDES-BENZ,Clase R,11900,Diésel,2006.0,250000,224.0,5,Automático,True,Asturias
OPEL,Corsa,15995,Gasolina,2020.0,7633,100.0,5,Manual,True,Valencia
BMW,X3,4800,Diésel,2004.0,300000,204.0,5,Automático,True,Guadalajara
CITROEN,C5,2300,Diésel,2006.0,170000,,5,Manual,False,Cádiz
HYUNDAI,TUCSON,23199,Gasolina,2019.0,13323,177.0,5,Automático,True,Sevilla
CITROEN,C4 Cactus,16900,Gasolina,2020.0,5,110.0,5,Manual,True,Córdoba
FORD,Fiesta,10450,Gasolina,2018.0,16600,85.0,5,Manual,True,Valencia
AUDI,A3,6200,Diésel,2008.0,192000,,5,Manual,False,Valencia
CITROEN,Grand C4 Spacetourer,26650,Diésel,2020.0,1,130.0,5,Manual,True,Toledo
DODGE,Viper,29600,Gasolina,2005.0,95017,506.0,2,Automático,True,Barcelona
DS,DS 3 Crossback ETense,40500,Eléctrico,2020.0,5,136.0,5,Automático,True,Córdoba
CITROEN,C5 Aircross,27590,Diésel,2020.0,18655,131.0,5,Automático,True,Madrid
FORD,SMAX,2850,Diésel,2008.0,287000,140.0,5,Manual,True,Madrid
AUDI,A4,3400,Gasolina,2001.0,138000,130.0,4,Manual,True,Barcelona
PEUGEOT,3008,6999,Diésel,2011.0,230000,112.0,5,Manual,True,Madrid
MERCEDES-BENZ,Clase C,5500,Diésel,2007.0,188000,150.0,3,Automático,False,Barcelona
VOLKSWAGEN,Passat,3650,Diésel,2007.0,342000,140.0,5,Manual,True,Madrid
HYUNDAI,TUCSON,27650,Diésel,2020.0,0,116.0,5,Manual,True,Girona
AUDI,A1,13990,Gasolina,2015.0,80000,95.0,5,Manual,True,Sevilla
AUDI,A4,12500,Diésel,2014.0,233128,177.0,4,Manual,True,A Coruña
SKODA,Scala,18450,Gasolina,2019.0,8000,115.0,5,Manual,True,Baleares
NISSAN,XTRAIL,16490,Diésel,2015.0,121224,130.0,5,Manual,True,Madrid
VOLVO,S60,3200,Diésel,2002.0,240000,163.0,4,Manual,False,Cantabria
KIA,Sorento,49900,Diésel,2020.0,5,202.0,5,Automático,True,Alicante
OPEL,Corsa,2100,Diésel,2007.0,217000,90.0,3,Manual,False,Madrid
FIAT,Fiorino,9800,Gas natural (CNG),2019.0,16,70.0,3,Manual,True,Las Palmas
CITROEN,Berlingo,7500,Diésel,2015.0,327000,120.0,5,Manual,True,Guipúzcoa
VOLKSWAGEN,Golf,13900,Gasolina,2010.0,93000,210.0,3,Automático,False,Málaga
AUDI,A3,19200,Gasolina,2018.0,15752,115.0,5,Manual,True,A Coruña
AUDI,Q5,23990,Diésel,2015.0,110000,190.0,5,Manual,True,Madrid
HONDA,Accord,4500,Gasolina,1993.0,200000,,3,Manual,False,Las Palmas
VOLKSWAGEN,Beetle,13990,Diésel,2015.0,100000,110.0,3,Manual,True,Valencia
TOYOTA,Verso,10980,Diésel,2016.0,197000,112.0,5,Manual,True,A Coruña
JAGUAR,FPace,44990,Diésel,2017.0,25041,300.0,5,Automático,True,Valencia
RENAULT,Mégane,6300,Diésel,2012.0,95000,90.0,5,Manual,False,Madrid
MASERATI,Levante,53000,Diésel,2018.0,160000,275.0,5,Automático,False,Madrid
BMW,Serie 3,8400,Diésel,2006.0,130000,,5,Manual,False,Lleida
BMW,Serie 3,7500,Gasolina,1990.0,272000,,3,Manual,False,Almería
CITROEN,Xsara Picasso,3500,Diésel,2006.0,158000,110.0,5,Manual,True,Badajoz
FORD,Fiesta,2495,Gasolina,2007.0,58000,70.0,5,Manual,True,Tenerife
PEUGEOT,206,2500,Gasolina,2003.0,175000,110.0,2,Manual,False,Cantabria
HYUNDAI,IONIQ,14650,Híbrido,2018.0,96000,141.0,5,Automático,True,Madrid
AUDI,A4,41800,Gasolina,2019.0,10,150.0,5,Automático,True,Cáceres
NISSAN,JUKE,16900,Diésel,2018.0,11500,110.0,5,Manual,True,Cantabria
RENAULT,Grand Scénic,8495,Diésel,2012.0,130000,110.0,5,Manual,True,Vizcaya
PEUGEOT,Partner,1500,Diésel,1997.0,355993,,3,Manual,False,Tenerife
MERCEDES-BENZ,Clase E,44900,Diésel,2018.0,27500,194.0,2,Automático,False,Madrid
AUDI,A6,6500,Gasolina,2005.0,170000,255.0,4,Automático,True,Barcelona
VOLVO,XC40,45500,Híbrido enchufable,2020.0,5,211.0,5,Automático,True,Barcelona
AUDI,A6,14600,Diésel,2011.0,99000,190.0,5,Automático,True,Madrid
HYUNDAI,i20,6500,Diésel,2011.0,92000,78.0,5,Manual,True,Barcelona
MERCEDES-BENZ,Clase CLA,37900,Diésel,2019.0,18000,150.0,4,Automático,False,Valencia
AUDI,A5,22900,Diésel,2016.0,113000,190.0,5,Manual,False,Cáceres
CITROEN,C4,3990,Gasolina,2005.0,139000,110.0,3,Manual,True,Madrid
AUDI,A3,4700,Diésel,2007.0,240000,105.0,5,Manual,True,Murcia
PEUGEOT,206,4000,Gasolina,2002.0,192000,,3,Manual,False,Vizcaya
PORSCHE,911,38900,Gasolina,2004.0,119500,355.0,2,Automático,True,Barcelona
MERCEDES-BENZ,Clase V,56750,Diésel,2019.0,32500,163.0,5,Automático,True,Palencia
PEUGEOT,Partner,6500,Diésel,2010.0,175000,,5,Manual,False,Valencia
PEUGEOT,307 SW,2890,Diésel,2008.0,209000,,5,Manual,False,Valencia
HYUNDAI,TUCSON,19299,Gasolina,2020.0,24445,132.0,5,Manual,True,Málaga
VOLKSWAGEN,Passat,6690,Diésel,2007.0,143121,105.0,4,Manual,True,Vizcaya
JEEP,Compass,25900,Diésel,2018.0,39000,170.0,5,Automático,True,Madrid
VOLKSWAGEN,Golf,8000,Diésel,2011.0,145000,105.0,5,Manual,False,Córdoba
BMW,Serie 5,31900,Diésel,2017.0,19900,190.0,5,Automático,True,Madrid
NISSAN,QASHQAI,10490,Gasolina,2014.0,112273,117.0,5,Manual,True,Valencia
BMW,Serie 3,2500,Diésel,2002.0,350000,,4,Manual,False,Valencia
PEUGEOT,308,18800,Diésel,2019.0,7500,130.0,5,Manual,True,Barcelona
PORSCHE,Panamera,38500,Híbrido,2011.0,175000,380.0,5,Automático,False,Pontevedra
MERCEDES-BENZ,Clase A,22500,Diésel,2016.0,16700,136.0,5,Automático,False,Barcelona
NISSAN,JUKE,17900,Gasolina,2018.0,20000,112.0,5,Manual,False,Barcelona
FORD,Focus,3500,Diésel,2009.0,186000,90.0,5,Manual,False,Alicante
MERCEDES-BENZ,GLC Coupé,44389,Diésel,2017.0,85846,204.0,5,Automático,True,Valencia
SEAT,Ibiza,2800,Gasolina,2003.0,89183,75.0,5,Manual,True,Girona
SUZUKI,Swift,3390,Diésel,2007.0,175000,69.0,5,Manual,True,Toledo
VOLKSWAGEN,TRoc,26400,Diésel,2020.0,1,115.0,5,Manual,True,Valencia
CITROEN,C3,13900,Diésel,2018.0,1350,75.0,5,Manual,True,Asturias
SEAT,Ibiza,4790,Diésel,2014.0,200000,90.0,5,Manual,True,Madrid
FORD,Kuga,23500,Gasolina,2020.0,10,120.0,5,Manual,True,La Rioja
BMW,X1,26900,Diésel,2018.0,30000,150.0,5,Automático,True,Zaragoza
BMW,Serie 3,39900,Diésel,2019.0,39000,190.0,4,Automático,True,Valencia
PEUGEOT,205,1300,Diésel,1988.0,218000,,5,Manual,False,Cáceres
RENAULT,Mégane,8699,Diésel,2014.0,60771,110.0,5,Manual,True,Madrid
PEUGEOT,405,6000,Gasolina,1992.0,117000,,5,Manual,False,Zaragoza
BMW,Serie 3,2900,Gasolina,1993.0,150000,113.0,4,Manual,True,Barcelona
SEAT,León,30890,Gasolina,2019.0,15789,290.0,5,Automático,True,Sevilla
TOYOTA,Rav4,9800,Gasolina,2009.0,173000,158.0,5,Manual,False,Madrid
MERCEDES-BENZ,Clase GLC,38700,Diésel,2017.0,45000,204.0,5,Automático,True,Girona
KIA,Soul,4900,Diésel,2009.0,144595,128.0,5,Manual,False,Murcia
FORD,Galaxy,24000,Diésel,2016.0,44000,150.0,5,Manual,True,Alicante
AUDI,A4,11900,Diésel,2012.0,130000,143.0,4,Automático,False,Barcelona
PEUGEOT,206,750,Gasolina,1999.0,174000,,3,Manual,False,Zaragoza
BMW,Serie 1,15990,Gasolina,2017.0,44800,109.0,5,Manual,True,Granada
MITSUBISHI,ASX,10790,Gasolina,2014.0,99827,117.0,5,Manual,True,Málaga
VOLKSWAGEN,Golf,1300,Diésel,2003.0,246000,140.0,3,Manual,False,Granada
MINI,MINI,5990,Gasolina,2004.0,199000,170.0,2,Manual,True,Barcelona
CITROEN,C3,16700,Gasolina,2020.0,1,83.0,5,Manual,True,Málaga
VOLVO,S80,5900,Diésel,2007.0,258000,185.0,4,Automático,False,Valencia
HYUNDAI,Kona,17390,Gasolina,2020.0,4852,120.0,5,Manual,True,Asturias
HONDA,CRV,25990,Gasolina,2020.0,3781,173.0,5,Manual,True,Barcelona
